temperature,rainfall,soil_quality,fertilizer_use,humidity,pesticide_use,sunlight_hours,plant_density,irrigation,crop_type,farm_area,crop_yield
21.236203565420873,436.27673662002866,6,177.6851425937234,52.03284346363856,39.04241581508623,1833.475970835567,26877.05677841649,441.6854420835745,Wheat,29.4308867094706,694.9057449418749
38.52142919229749,399.62088660826294,2,126.2603031453477,89.85090005501814,24.781500631313534,1592.6186089435105,14578.437798207606,393.2870811044417,Soybean,23.893473435439045,622.5570705266426
31.959818254342153,258.538521252574,4,177.80120737949636,68.10907528424815,15.893629453179447,1230.163860523816,13929.584174025476,420.9333488818698,Soybean,92.38018922783573,513.571902211035
27.959754525911098,646.5400030913391,7,269.74638015934886,71.72835209496449,11.82265645925803,1344.3508087872442,18341.806109600246,418.6709162014639,Wheat,22.44801068330964,646.8569347584374
14.680559213273096,528.9617444577659,6,222.85158684377936,44.30082912522301,5.851394991346826,1699.811972584748,16285.311370564208,37.389654147546636,Soybean,10.055742157826105,615.5511330489207
14.67983561008608,879.1308930916033,9,264.65402157252936,38.755205717766934,24.21150846989539,2373.2603100602996,10576.012380605778,287.37890096072846,Soybean,23.346813830204557,925.0244780215262
11.742508365045984,128.89862243385244,7,132.0948557695126,83.1306262545937,24.554456597824792,2219.175903316297,26115.310577383094,235.35230009694925,Wheat,43.29475363529986,699.6083847134586
35.98528437324806,679.4811347996138,1,227.99478208437398,54.80353228068794,22.798037560162825,1159.9106614204604,27731.525838056343,99.36997924223373,Corn,23.10815781596717,528.3270728485847
28.033450352296263,786.653990660405,6,213.26224287790413,30.246455094961423,38.913129942414294,1286.0531073322243,23687.659183523807,130.60598317376537,Corn,10.674600069519402,568.2856946606565
31.242177333881365,783.5379122694764,3,192.9041151626043,47.654757244860846,4.988843011279226,2816.805973436377,6201.802942703786,70.65055575913398,Soybean,27.597799810707144,908.2860371725586
10.617534828874074,897.4665703859725,8,182.0562163076272,41.743926498854044,33.500501199993884,1142.1625052390127,7947.913263404669,236.64605844714754,Soybean,90.73971464307252,551.235242405252
39.097295564859834,756.1303685465447,1,187.74447078489925,66.22633545049702,20.078366144999464,1397.7455677887706,13650.277500570259,128.1641690251415,Rice,75.51761715872212,585.8815357100524
34.97327922401266,935.0290554829267,10,262.41777243167473,75.36739019684177,12.04749432622263,1635.8843586417474,18917.756437235817,106.26678833217973,Corn,24.096778762159985,718.8026828129923
16.370173320348286,399.3909398388023,2,278.9986252510363,59.84990996902666,34.079705593923705,1460.2381355286004,20237.86472762002,274.356596687445,Wheat,61.10879575985414,609.4200708586699
15.454749016213018,552.8884750763888,3,78.21511609630956,41.15394157415151,9.883894943100891,1581.6766739691004,7499.881258118603,106.32427915495896,Wheat,85.75301757026517,545.7428105085604
15.502135295603015,112.6716969546016,3,192.1928943975836,33.47786781496819,11.545849679129788,2455.4808480769734,29006.031353619263,294.80756996844997,Corn,97.12581634777217,781.3350600784755
